I, [2016-11-29T12:55:36.228478 #11928]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2016-11-29T12:55:36.258855 #11928] ERROR -- Kitchen: ------Exception-------
E, [2016-11-29T12:55:36.264743 #11928] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: Message: Kitchen YAML file C:/Git/chef-repo/windows_provisioning/.kitchen.yml does not exist.
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: ----------------------
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: ------Backtrace-------
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-11-29T12:55:36.265724 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:186:in `block (2 levels) in <class:CLI>'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-11-29T12:55:36.266705 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-11-29T12:55:36.267689 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2016-11-29T12:55:36.267689 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-11-29T12:55:36.267689 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-11-29T12:55:36.267689 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-11-29T12:55:36.267689 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-11-29T12:55:36.268676 #11928] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2016-11-29T12:55:36.268676 #11928] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:24:in `load'
E, [2016-11-29T12:55:36.268676 #11928] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:24:in `<main>'
E, [2016-11-29T12:55:36.268676 #11928] ERROR -- Kitchen: ----End Backtrace-----
